player_name,team,position,injury_body_part,expected_games_missed,expected_return,season_ending,source_url,source_date,note
Breece Hall,NYJ,RB,Groin,0,Expected ready Week 1,false,https://www.reuters.com/sports/jets-coach-rb-breece-hall-groin-be-ready-week-1--flm-2026-08-18/,2026-08-18,Reported 2-3 week absence but coach expects readiness for the Sep 13 opener.
Alvin Kamara,NO,RB,Knee - MCL,2,Reported 4-6 week recovery,false,https://www.reuters.com/sports/saints-rb-alvin-kamara-knee-expected-miss-4-6-weeks--flm-2026-08-19/,2026-08-19,Expected-games value is an auditable midpoint estimate against the Sep 13 opener; roughly 1-3 regular-season games are at risk.
Jeremiyah Love,AZ,RB,High ankle sprain,0,Team hopeful for Week 1,false,https://www.reuters.com/sports/report-cardinals-rookie-rb-jeremiyah-love-sidelined-with-ankle-sprain--flm-2026-08-17/,2026-08-17,Expected to miss the rest of preseason; Week 1 remains a target rather than a guarantee.
Jordyn Tyson,NO,WR,Hamstring,5,Could miss first five games,false,https://www.reuters.com/sports/reports-saints-rookie-wr-jordyn-tyson-could-miss-2-months--flm-2026-08-18/,2026-08-18,Report says up to two months and specifically notes the first five games could be missed.
Sam LaPorta,DET,TE,Hip,,Week 1 uncertain,false,https://www.reuters.com/sports/lions-te-sam-laporta-nursing-hip-injury-week-1-status-uncertain--flm-2026-08-20/,2026-08-20,No reliable regular-season games-missed estimate yet; retain status-based penalty until timing clarifies.
Tyler Warren,IND,TE,Groin,0,Expected to miss about one week and be ready Week 1,false,https://www.reuters.com/sports/colts-te-tyler-warren-groin-miss-one-week--flm-2026-08-20/,2026-08-20,Minor groin injury should not affect opener readiness per report.
Josh Jacobs,GB,RB,Groin,0,Returned to practice,false,https://www.reuters.com/sports/packers-rb-josh-jacobs-groin-returning-practice--flm-2026-08-18/,2026-08-18,Returned after nearly two weeks out; no regular-season absence currently projected.
Tucker Kraft,GB,TE,Knee - ACL,0,Targeting Week 1 with no pitch count,false,https://www.packers.com/news/tucker-kraft-s-goal-is-to-start-week-1-on-no-pitch-count-june-11-2026,2026-07-31,Activated from PUP July 31 and progressing toward a Week 1 return; keep recovery risk visible without assuming missed games.
Alec Pierce,IND,WR,Ankle / foot,0,On target for Week 1,false,https://www.reuters.com/sports/colts-gm-wr-alec-pierce-ankle-target-week-1--flm-2026-08-11/,2026-08-11,GM says recovery from offseason foot surgery is on target for Week 1.
Chuba Hubbard,CAR,RB,Hamstring,0,Team optimistic for Week 1,false,https://www.reuters.com/sports/panthers-rb-chuba-hubbard-hamstring-week-to-week--flm-2026-08-13/,2026-08-13,Week-to-week hamstring injury but team remains optimistic for opener.
Kyle Monangai,CHI,RB,Knee hyperextension,,Week 1 in doubt,false,https://www.reuters.com/sports/bears-rb-kyle-monangai-week-to-week-with-knee-injury--flm-2026-08-18/,2026-08-18,Week-to-week and opener is in doubt; no precise missed-games estimate yet.
Ricky Pearsall,SF,WR,Knee - PCL,17,Out for 2026 season,true,https://www.nfl.com/news-migrated-v2/niners-wr-ricky-pearsall-knee-surgery-will-miss-2026-season,2026-08-01,49ers announced surgery and season-ending injured reserve.
