league_name,owner_team,player_name,keeper_type,keeper_round
Drunk Sundays,Parrots,Bijan Robinson,standard,15
Drunk Sundays,Go Time,Kyren Williams,standard,15
Drunk Sundays,Go Time,Omarion Hampton,rookie,3
Drunk Sundays,The Bird Is The Word,Justin Jefferson,standard,15
Drunk Sundays,Hashbrownies,De'Von Achane,standard,15
Drunk Sundays,Diamonds Forever Inn The House,Jahmyr Gibbs,standard,15
Drunk Sundays,Tez Swagg,Brock Bowers,standard,15
Drunk Sundays,Long & Deep,Cam Skattebo,standard,15
Drunk Sundays,Only Here To Beat My Husband,Jaxon Smith-Njigba,standard,15
Drunk Sundays,BLKWDW'S,TreVeyon Henderson,standard,15
Drunk Sundays,BLKWDW'S,Ashton Jeanty,rookie,3
Drunk Sundays,Door Dash At 2AM,Jonathan Taylor,standard,15
Drunk Sundays,It's Geoffrey James Beeitch,Christian McCaffrey,standard,15
Drunk Sundays,It's Geoffrey James Beeitch,Quinshon Judkins,rookie,3
Drunk Sundays,Hawk Tua,James Cook,standard,15
